latitud,longitud,profundidad,
-0.0020833333333314386,-49.06041666666667,-9.0,
-0.0020833333333314386,-48.99791666666667,-9.0,
-0.0020833333333314386,-48.93541666666667,-13.0,
-0.0020833333333314386,-48.87291666666667,-13.0,
-0.0020833333333314386,-48.81041666666667,-13.0,
-0.0020833333333314386,-48.74791666666667,-11.0,
-0.0020833333333314386,-48.68541666666667,-10.0,
-0.0020833333333314386,-48.33125,-9.0,
-0.0020833333333314386,-47.91458333333333,-17.0,
-0.0020833333333314386,-47.49791666666667,-87.0,
-0.0020833333333314386,-47.08125,-22.0,
-0.0020833333333314386,-46.66458333333333,-29.0,
-0.0020833333333314386,-46.24791666666667,-41.0,
-0.0020833333333314386,-45.83125,-60.0,
-0.0020833333333314386,-45.41458333333333,-55.0,
-0.0020833333333314386,-44.99791666666667,-65.0,
-0.0020833333333314386,-44.58125,-59.0,
-0.0020833333333314386,-44.16458333333333,-2037.0,
-0.0020833333333314386,-43.74791666666667,-3254.0,
-0.0020833333333314386,-43.33125,-3529.0,
-0.0020833333333314386,-42.91458333333333,-3626.0,
-0.0020833333333314386,-42.49791666666667,-3692.0,
-0.0020833333333314386,-42.08125,-3861.0,
-0.0020833333333314386,-41.66458333333333,-3912.0,
-0.0020833333333314386,-41.24791666666667,-3861.0,
-0.0020833333333314386,-40.83125,-3909.0,
-0.0020833333333314386,-40.41458333333333,-3705.0,
-0.0020833333333314386,-39.99791666666667,-3440.0,
-0.0020833333333314386,-39.58125,-4197.0,
-0.0020833333333314386,-39.16458333333333,-4286.0,
-0.0020833333333314386,-38.74791666666667,-4356.0,
-0.0020833333333314386,-38.331250000000004,-4408.0,
-0.0020833333333314386,-37.91458333333333,-4456.0,
-0.0020833333333314386,-37.49791666666667,-4481.0,
-0.0020833333333314386,-37.081250000000004,-4509.0,
-0.0020833333333314386,-36.66458333333333,-4516.0,
-0.0020833333333314386,-36.24791666666667,-4529.0,
-0.0020833333333314386,-35.831250000000004,-4534.0,
-0.0020833333333314386,-35.41458333333333,-4524.0,
-0.0020833333333314386,-34.99791666666667,-4538.0,
-0.0020833333333314386,-34.581250000000004,-4539.0,
-0.0020833333333314386,-34.16458333333333,-4553.0,
-0.0020833333333314386,-33.74791666666667,-4559.0,
-0.0020833333333314386,-33.331250000000004,-4574.0,
-0.0020833333333314386,-32.91458333333333,-4534.0,
-0.0020833333333314386,-32.49791666666667,-4544.0,
-0.0020833333333314386,-32.081250000000004,-4302.0,
-0.0020833333333314386,-31.664583333333333,-3991.0,
-0.0020833333333314386,-31.24791666666667,-4079.0,
-0.0020833333333314386,-30.831250000000004,-4210.0,
-0.0020833333333314386,-30.414583333333333,-3679.0,
-0.0020833333333314386,-29.99791666666667,-3812.0,
-0.0020833333333314386,-29.581250000000004,-3944.0,
-0.0020833333333314386,-29.164583333333333,-4099.0,
-0.0020833333333314386,-28.74791666666667,-3956.0,
-0.0020833333333314386,-28.331250000000004,-4006.0,
-0.0020833333333314386,-27.914583333333333,-3752.0,
-0.0020833333333314386,-27.49791666666667,-3668.0,
-0.0020833333333314386,-27.081250000000004,-3477.0,
-0.0020833333333314386,-26.664583333333333,-3335.0,
-0.0020833333333314386,-26.24791666666667,-3625.0,
-0.0020833333333314386,-25.831249999999997,-3037.0,
-0.0020833333333314386,-25.41458333333334,-3297.0,
-0.0020833333333314386,-24.99791666666667,-3167.0,
-0.0020833333333314386,-24.581249999999997,-2953.0,
-0.0020833333333314386,-24.16458333333334,-3757.0,
-0.0020833333333314386,-23.74791666666667,-3664.0,
-0.0020833333333314386,-23.331249999999997,-3667.0,
-0.0020833333333314386,-22.91458333333334,-4103.0,
-0.0020833333333314386,-22.49791666666667,-4071.0,
-0.0020833333333314386,-22.081249999999997,-4458.0,
-0.0020833333333314386,-21.66458333333334,-4665.0,
-0.0020833333333314386,-21.24791666666667,-4896.0,
-0.0020833333333314386,-20.831249999999997,-4448.0,
-0.0020833333333314386,-20.41458333333334,-3039.0,
-0.0020833333333314386,-19.99791666666667,-2565.0,
-0.0020833333333314386,-19.581249999999997,-3717.0,
-0.0020833333333314386,-19.16458333333334,-4055.0,
-0.0020833333333314386,-18.74791666666667,-3177.0,
-0.0020833333333314386,-18.331249999999997,-3465.0,
-0.0020833333333314386,-17.91458333333334,-6273.0,
-0.0020833333333314386,-17.49791666666667,-5662.0,
-0.0020833333333314386,-17.081249999999997,-4600.0,
-0.0020833333333314386,-16.66458333333334,-4088.0,
-0.0020833333333314386,-16.24791666666667,-3125.0,
-0.0020833333333314386,-15.831249999999997,-2944.0,
-0.0020833333333314386,-15.41458333333334,-3485.0,
-0.0020833333333314386,-14.997916666666669,-3780.0,
-0.0020833333333314386,-14.581249999999997,-4363.0,
-0.0020833333333314386,-14.16458333333334,-3827.0,
-0.0020833333333314386,-13.747916666666669,-3950.0,
-0.0020833333333314386,-13.331249999999997,-4146.0,
-0.0020833333333314386,-12.91458333333334,-3673.0,
-0.0020833333333314386,-12.497916666666669,-4444.0,
-0.0020833333333314386,-12.081249999999997,-4075.0,
-0.0020833333333314386,-11.66458333333334,-4479.0,
-0.0020833333333314386,-11.247916666666669,-4790.0,
-0.0020833333333314386,-10.831249999999997,-4608.0,
-0.0020833333333314386,-10.41458333333334,-4919.0,
-0.0020833333333314386,-9.997916666666669,-4936.0,
-0.0020833333333314386,-9.581249999999997,-5190.0,
-0.0020833333333314386,-9.16458333333334,-4985.0,
-0.0020833333333314386,-8.747916666666669,-4420.0,
-0.0020833333333314386,-8.331249999999997,-5048.0,
-0.0020833333333314386,-7.91458333333334,-5172.0,
-0.0020833333333314386,-7.497916666666669,-5149.0,
-0.0020833333333314386,-7.081249999999997,-5145.0,
-0.0020833333333314386,-6.66458333333334,-5009.0,
-0.0020833333333314386,-6.247916666666669,-4960.0,
-0.0020833333333314386,-5.831249999999997,-5132.0,
-0.0020833333333314386,-5.41458333333334,-5152.0,
-0.0020833333333314386,-4.997916666666669,-5151.0,
-0.0020833333333314386,-4.581249999999997,-5139.0,
-0.0020833333333314386,-4.16458333333334,-5147.0,
-0.0020833333333314386,-3.7479166666666686,-5131.0,
-0.0020833333333314386,-3.331249999999997,-5128.0,
-0.0020833333333314386,-2.91458333333334,-5107.0,
-0.0020833333333314386,-2.4979166666666686,-5089.0,
-0.0020833333333314386,-2.081249999999997,-5051.0,
-0.0020833333333314386,-1.66458333333334,-5041.0,
-0.0020833333333314386,-1.2479166666666686,-5007.0,
-0.0020833333333314386,-0.8312499999999972,-4973.0,
-0.0020833333333314386,-0.41458333333333997,-4958.0,
-0.06458333333333142,-80.49791666666667,-78.0,
-0.06458333333333142,-80.43541666666667,-81.0,
-0.06458333333333142,-80.37291666666667,-69.0,
-0.06458333333333142,-80.31041666666667,-42.0,
-0.06458333333333142,-80.24791666666667,-26.0,
-0.06458333333333142,-80.18541666666667,-10.0,
-0.06458333333333142,-51.18541666666667,-2.0,
-0.06458333333333142,-51.12291666666667,-10.0,
-0.06458333333333142,-51.06041666666667,-9.0,
-0.06458333333333142,-50.99791666666667,-10.0,
-0.06458333333333142,-50.62291666666667,-2.0,
-0.06458333333333142,-50.56041666666667,-26.0,
-0.06458333333333142,-50.49791666666667,-12.0,
-0.06458333333333142,-50.43541666666667,-20.0,
-0.06458333333333142,-50.31041666666667,-20.0,
-0.06458333333333142,-50.24791666666667,-6.0,
-0.06458333333333142,-50.18541666666667,-1.0,
-0.06458333333333142,-50.12291666666667,-20.0,
-0.06458333333333142,-50.06041666666667,-25.0,
-0.06458333333333142,-49.99791666666667,-15.0,
-0.06458333333333142,-49.93541666666667,-6.0,
-0.06458333333333142,-49.87291666666667,-6.0,
-0.06458333333333142,-49.37291666666667,-6.0,
-0.06458333333333142,-49.31041666666667,-7.0,
-0.06458333333333142,-49.24791666666667,-7.0,
-0.06458333333333142,-49.18541666666667,-7.0,
-0.06458333333333142,-49.12291666666667,-7.0,
-0.06458333333333142,-49.06041666666667,-9.0,
-0.06458333333333142,-48.99791666666667,-11.0,
-0.06458333333333142,-48.93541666666667,-14.0,
-0.06458333333333142,-48.87291666666667,-11.0,
-0.06458333333333142,-48.81041666666667,-12.0,
-0.06458333333333142,-48.74791666666667,-10.0,
-0.06458333333333142,-48.68541666666667,-10.0,
-0.06458333333333142,-48.62291666666667,-9.0,
-0.06458333333333142,-48.56041666666667,-8.0,
-0.06458333333333142,-48.49791666666667,-8.0,
-0.06458333333333142,-48.43541666666667,-8.0,
-0.06458333333333142,-48.37291666666667,-8.0,
-0.06458333333333142,-48.31041666666667,-9.0,
-0.12708333333333144,-80.56041666666667,-90.0,
-0.12708333333333144,-80.49791666666667,-88.0,
-0.12708333333333144,-80.43541666666667,-67.0,
-0.12708333333333144,-80.37291666666667,-50.0,
-0.12708333333333144,-80.31041666666667,-20.0,
-0.12708333333333144,-80.24791666666667,-6.0,
-0.12708333333333144,-51.24791666666667,-2.0,
-0.12708333333333144,-51.18541666666667,-17.0,
-0.12708333333333144,-51.06041666666667,-1.0,
-0.12708333333333144,-50.62291666666667,-32.0,
-0.12708333333333144,-50.56041666666667,-21.0,
-0.12708333333333144,-50.49791666666667,-14.0,
-0.12708333333333144,-50.37291666666667,-15.0,
-0.12708333333333144,-50.18541666666667,-6.0,
-0.12708333333333144,-50.12291666666667,-3.0,
-0.12708333333333144,-50.06041666666667,-7.0,
-0.12708333333333144,-49.99791666666667,-16.0,
-0.12708333333333144,-49.93541666666667,-23.0,
-0.12708333333333144,-49.87291666666667,-31.0,
-0.12708333333333144,-49.81041666666667,-20.0,
-0.12708333333333144,-49.43541666666667,-9.0,
-0.12708333333333144,-49.37291666666667,-11.0,
-0.12708333333333144,-49.31041666666667,-13.0,
-0.12708333333333144,-49.24791666666667,-13.0,
-0.12708333333333144,-49.18541666666667,-13.0,
-0.12708333333333144,-49.12291666666667,-13.0,
-0.12708333333333144,-49.06041666666667,-4.0,
-0.12708333333333144,-48.99791666666667,-13.0,
-0.12708333333333144,-48.93541666666667,-13.0,
-0.12708333333333144,-48.87291666666667,-12.0,
-0.12708333333333144,-48.81041666666667,-13.0,
-0.12708333333333144,-48.74791666666667,-13.0,
-0.12708333333333144,-48.68541666666667,-10.0,
-0.12708333333333144,-48.62291666666667,-9.0,
-0.12708333333333144,-48.56041666666667,-7.0,
-0.12708333333333144,-48.49791666666667,-8.0,
-0.12708333333333144,-48.43541666666667,-7.0,
-0.12708333333333144,-48.37291666666667,-8.0,
-0.12708333333333144,-48.31041666666667,-9.0,
-0.12708333333333144,-48.24791666666667,-9.0,
-0.18958333333333144,-80.56041666666667,-85.0,
-0.18958333333333144,-80.49791666666667,-83.0,
-0.18958333333333144,-80.43541666666667,-53.0,
-0.18958333333333144,-80.37291666666667,-12.0,
-0.18958333333333144,-51.24791666666667,-18.0,
-0.18958333333333144,-51.06041666666667,-4.0,
-0.18958333333333144,-50.74791666666667,-7.0,
-0.18958333333333144,-50.68541666666667,-23.0,
-0.18958333333333144,-50.62291666666667,-22.0,
-0.18958333333333144,-49.87291666666667,-3.0,
-0.18958333333333144,-49.81041666666667,-9.0,
-0.18958333333333144,-49.74791666666667,-27.0,
-0.18958333333333144,-49.68541666666667,-22.0,
-0.18958333333333144,-49.62291666666667,-20.0,
-0.18958333333333144,-49.56041666666667,-24.0,
-0.18958333333333144,-49.49791666666667,-23.0,
-0.18958333333333144,-49.43541666666667,-19.0,
-0.18958333333333144,-49.37291666666667,-23.0,
-0.18958333333333144,-48.81041666666667,-6.0,
-0.18958333333333144,-48.74791666666667,-7.0,
-0.18958333333333144,-48.68541666666667,-5.0,
-0.18958333333333144,-48.62291666666667,-5.0,
-0.18958333333333144,-48.56041666666667,-6.0,
-0.18958333333333144,-48.49791666666667,-7.0,
-0.18958333333333144,-48.43541666666667,-8.0,
-0.18958333333333144,-48.37291666666667,-8.0,
-0.18958333333333144,-48.31041666666667,-7.0,
-0.18958333333333144,-48.24791666666667,-6.0,
-0.25208333333333144,-80.62291666666667,-122.0,
-0.25208333333333144,-80.56041666666667,-93.0,
-0.25208333333333144,-80.49791666666667,-80.0,
-0.25208333333333144,-80.43541666666667,-31.0,
-0.25208333333333144,-51.31041666666667,-13.0,
-0.25208333333333144,-51.06041666666667,-13.0,
