latitud,longitud,profundidad,
-0.0020833333333314386,-128.74791666666667,-4535.0,
-0.0020833333333314386,-128.33125,-4549.0,
-0.0020833333333314386,-127.91458333333333,-4500.0,
-0.0020833333333314386,-127.49791666666667,-4375.0,
-0.0020833333333314386,-127.08125000000001,-4467.0,
-0.0020833333333314386,-126.66458333333333,-4488.0,
-0.0020833333333314386,-126.24791666666667,-4555.0,
-0.0020833333333314386,-125.83125000000001,-4674.0,
-0.0020833333333314386,-125.41458333333333,-4683.0,
-0.0020833333333314386,-124.99791666666667,-4728.0,
-0.0020833333333314386,-124.58125000000001,-4891.0,
-0.0020833333333314386,-124.16458333333333,-4497.0,
-0.0020833333333314386,-123.74791666666667,-4535.0,
-0.0020833333333314386,-123.33125000000001,-4518.0,
-0.0020833333333314386,-122.91458333333333,-4554.0,
-0.0020833333333314386,-122.49791666666667,-4432.0,
-0.0020833333333314386,-122.08125000000001,-4427.0,
-0.0020833333333314386,-121.66458333333333,-4308.0,
-0.0020833333333314386,-121.24791666666667,-4318.0,
-0.0020833333333314386,-120.83125000000001,-4261.0,
-0.0020833333333314386,-120.41458333333333,-4177.0,
-0.0020833333333314386,-119.99791666666667,-4187.0,
-0.0020833333333314386,-119.58125000000001,-4020.0,
-0.0020833333333314386,-119.16458333333333,-4058.0,
-0.0020833333333314386,-118.74791666666667,-4127.0,
-0.0020833333333314386,-118.33125000000001,-4140.0,
-0.0020833333333314386,-117.91458333333333,-4083.0,
-0.0020833333333314386,-117.49791666666667,-4057.0,
-0.0020833333333314386,-117.08125000000001,-4227.0,
-0.0020833333333314386,-116.66458333333333,-4104.0,
-0.0020833333333314386,-116.24791666666667,-4074.0,
-0.0020833333333314386,-115.83125,-4041.0,
-0.0020833333333314386,-115.41458333333334,-3967.0,
-0.0020833333333314386,-114.99791666666667,-3994.0,
-0.0020833333333314386,-114.58125,-3995.0,
-0.0020833333333314386,-114.16458333333334,-4104.0,
-0.0020833333333314386,-113.74791666666667,-4161.0,
-0.0020833333333314386,-113.33125,-4072.0,
-0.0020833333333314386,-112.91458333333334,-4028.0,
-0.0020833333333314386,-112.49791666666667,-3994.0,
-0.0020833333333314386,-112.08125,-3986.0,
-0.0020833333333314386,-111.66458333333334,-3980.0,
-0.0020833333333314386,-111.24791666666667,-3867.0,
-0.0020833333333314386,-110.83125,-3860.0,
-0.0020833333333314386,-110.41458333333334,-3805.0,
-0.0020833333333314386,-109.99791666666667,-3844.0,
-0.0020833333333314386,-109.58125,-3784.0,
-0.0020833333333314386,-109.16458333333334,-3773.0,
-0.0020833333333314386,-108.74791666666667,-3753.0,
-0.0020833333333314386,-108.33125,-3757.0,
-0.0020833333333314386,-107.91458333333334,-3687.0,
-0.0020833333333314386,-107.49791666666667,-3701.0,
-0.0020833333333314386,-107.08125,-3656.0,
-0.0020833333333314386,-106.66458333333334,-3755.0,
-0.0020833333333314386,-106.24791666666667,-3821.0,
-0.0020833333333314386,-105.83125,-3706.0,
-0.0020833333333314386,-105.41458333333334,-3632.0,
-0.0020833333333314386,-104.99791666666667,-3570.0,
-0.0020833333333314386,-104.58125,-3600.0,
-0.0020833333333314386,-104.16458333333334,-3453.0,
-0.0020833333333314386,-103.74791666666667,-3467.0,
-0.0020833333333314386,-103.33125,-3341.0,
-0.0020833333333314386,-102.91458333333334,-3422.0,
-0.0020833333333314386,-102.49791666666667,-3274.0,
-0.0020833333333314386,-102.08125,-3135.0,
-0.0020833333333314386,-101.66458333333334,-3200.0,
-0.0020833333333314386,-101.24791666666667,-3310.0,
-0.0020833333333314386,-100.83125,-3309.0,
-0.0020833333333314386,-100.41458333333334,-3313.0,
-0.0020833333333314386,-99.99791666666667,-3247.0,
-0.0020833333333314386,-99.58125,-3420.0,
-0.0020833333333314386,-99.16458333333334,-3355.0,
-0.0020833333333314386,-98.74791666666667,-3196.0,
-0.0020833333333314386,-98.33125,-3382.0,
-0.0020833333333314386,-97.91458333333334,-3209.0,
-0.0020833333333314386,-97.49791666666667,-3259.0,
-0.0020833333333314386,-97.08125,-3297.0,
-0.0020833333333314386,-96.66458333333334,-3310.0,
-0.0020833333333314386,-96.24791666666667,-3233.0,
-0.0020833333333314386,-95.83125,-3246.0,
-0.0020833333333314386,-95.41458333333334,-3243.0,
-0.0020833333333314386,-94.99791666666667,-3332.0,
-0.0020833333333314386,-94.58125,-3369.0,
-0.0020833333333314386,-94.16458333333334,-3301.0,
-0.0020833333333314386,-93.74791666666667,-3260.0,
-0.0020833333333314386,-93.33125,-3215.0,
-0.0020833333333314386,-92.91458333333334,-3164.0,
-0.0020833333333314386,-92.49791666666667,-2983.0,
-0.0020833333333314386,-92.08125,-3106.0,
-0.0020833333333314386,-91.74791666666667,-3040.0,
-0.0020833333333314386,-91.68541666666667,-2325.0,
-0.0020833333333314386,-91.62291666666667,-898.0,
-0.0020833333333314386,-91.18541666666667,-1125.0,
-0.0020833333333314386,-91.12291666666667,-2339.0,
-0.0020833333333314386,-91.06041666666667,-2403.0,
-0.0020833333333314386,-90.99791666666667,-2597.0,
-0.0020833333333314386,-90.93541666666667,-2203.0,
-0.0020833333333314386,-90.87291666666667,-1968.0,
-0.0020833333333314386,-90.81041666666667,-1991.0,
-0.0020833333333314386,-90.74791666666667,-2187.0,
-0.0020833333333314386,-90.68541666666667,-2099.0,
-0.0020833333333314386,-90.62291666666667,-2048.0,
-0.0020833333333314386,-90.41458333333334,-1734.0,
-0.06458333333333142,-91.74791666666667,-2776.0,
-0.06458333333333142,-91.68541666666667,-2386.0,
-0.06458333333333142,-91.62291666666667,-1615.0,
-0.06458333333333142,-91.56041666666667,-248.0,
-0.06458333333333142,-91.49791666666667,-1822.0,
-0.06458333333333142,-91.43541666666667,-1329.0,
-0.06458333333333142,-91.18541666666667,-619.0,
-0.06458333333333142,-91.12291666666667,-2205.0,
-0.06458333333333142,-91.06041666666667,-2359.0,
-0.06458333333333142,-90.99791666666667,-2364.0,
-0.06458333333333142,-90.93541666666667,-2088.0,
-0.06458333333333142,-90.87291666666667,-1173.0,
-0.06458333333333142,-90.81041666666667,-605.0,
-0.06458333333333142,-90.74791666666667,-594.0,
-0.06458333333333142,-90.68541666666667,-1595.0,
-0.06458333333333142,-90.62291666666667,-2025.0,
-0.06458333333333142,-90.56041666666667,-2012.0,
-0.06458333333333142,-90.49791666666667,-1984.0,
-0.12708333333333144,-91.74791666666667,-2562.0,
-0.12708333333333144,-91.68541666666667,-2437.0,
-0.12708333333333144,-91.62291666666667,-2315.0,
-0.12708333333333144,-91.56041666666667,-1903.0,
-0.12708333333333144,-91.49791666666667,-1947.0,
-0.12708333333333144,-91.43541666666667,-1253.0,
-0.12708333333333144,-91.18541666666667,-420.0,
-0.12708333333333144,-91.12291666666667,-2269.0,
-0.12708333333333144,-91.06041666666667,-2332.0,
-0.12708333333333144,-90.99791666666667,-2320.0,
-0.12708333333333144,-90.93541666666667,-2255.0,
-0.12708333333333144,-90.87291666666667,-349.0,
-0.12708333333333144,-90.81041666666667,-207.0,
-0.12708333333333144,-90.74791666666667,-138.0,
-0.12708333333333144,-90.68541666666667,-258.0,
-0.12708333333333144,-90.62291666666667,-621.0,
-0.12708333333333144,-90.56041666666667,-879.0,
-0.12708333333333144,-90.49791666666667,-1066.0,
-0.12708333333333144,-90.43541666666667,-1648.0,
-0.18958333333333144,-160.06041666666667,-4684.0,
-0.18958333333333144,-159.99791666666667,-4605.0,
-0.18958333333333144,-159.93541666666667,-4623.0,
-0.18958333333333144,-91.81041666666667,-2983.0,
-0.18958333333333144,-91.74791666666667,-2223.0,
-0.18958333333333144,-91.68541666666667,-2416.0,
-0.18958333333333144,-91.62291666666667,-2353.0,
-0.18958333333333144,-91.56041666666667,-2148.0,
-0.18958333333333144,-91.49791666666667,-1954.0,
-0.18958333333333144,-91.43541666666667,-1451.0,
-0.18958333333333144,-91.18541666666667,-69.0,
-0.18958333333333144,-91.12291666666667,-1935.0,
-0.18958333333333144,-91.06041666666667,-2244.0,
-0.18958333333333144,-90.99791666666667,-2277.0,
-0.18958333333333144,-90.93541666666667,-1930.0,
-0.18958333333333144,-90.87291666666667,-132.0,
-0.18958333333333144,-90.62291666666667,-29.0,
-0.18958333333333144,-90.56041666666667,-624.0,
-0.18958333333333144,-90.49791666666667,-747.0,
